model_name,d_in,d_out,prec,model_file
dense_2_58_12b,2,58,12,pregen_latency_models/dense_2_58_12b.h5
dense_2_58_14b,2,58,14,pregen_latency_models/dense_2_58_14b.h5
dense_2_58_16b,2,58,16,pregen_latency_models/dense_2_58_16b.h5
dense_2_60_2b,2,60,2,pregen_latency_models/dense_2_60_2b.h5
dense_2_60_4b,2,60,4,pregen_latency_models/dense_2_60_4b.h5
dense_2_60_6b,2,60,6,pregen_latency_models/dense_2_60_6b.h5
dense_2_60_8b,2,60,8,pregen_latency_models/dense_2_60_8b.h5
dense_2_60_10b,2,60,10,pregen_latency_models/dense_2_60_10b.h5
dense_2_60_12b,2,60,12,pregen_latency_models/dense_2_60_12b.h5
dense_2_60_14b,2,60,14,pregen_latency_models/dense_2_60_14b.h5
dense_2_60_16b,2,60,16,pregen_latency_models/dense_2_60_16b.h5
dense_2_62_2b,2,62,2,pregen_latency_models/dense_2_62_2b.h5
dense_2_62_4b,2,62,4,pregen_latency_models/dense_2_62_4b.h5
dense_2_62_6b,2,62,6,pregen_latency_models/dense_2_62_6b.h5
dense_2_62_8b,2,62,8,pregen_latency_models/dense_2_62_8b.h5
dense_2_62_10b,2,62,10,pregen_latency_models/dense_2_62_10b.h5
dense_2_62_12b,2,62,12,pregen_latency_models/dense_2_62_12b.h5
dense_2_62_14b,2,62,14,pregen_latency_models/dense_2_62_14b.h5
dense_2_62_16b,2,62,16,pregen_latency_models/dense_2_62_16b.h5
dense_2_64_2b,2,64,2,pregen_latency_models/dense_2_64_2b.h5
dense_2_64_4b,2,64,4,pregen_latency_models/dense_2_64_4b.h5
dense_2_64_6b,2,64,6,pregen_latency_models/dense_2_64_6b.h5
dense_2_64_8b,2,64,8,pregen_latency_models/dense_2_64_8b.h5
dense_2_64_10b,2,64,10,pregen_latency_models/dense_2_64_10b.h5
dense_2_64_12b,2,64,12,pregen_latency_models/dense_2_64_12b.h5
dense_2_64_14b,2,64,14,pregen_latency_models/dense_2_64_14b.h5
dense_2_64_16b,2,64,16,pregen_latency_models/dense_2_64_16b.h5
dense_4_2_2b,4,2,2,pregen_latency_models/dense_4_2_2b.h5
dense_4_2_4b,4,2,4,pregen_latency_models/dense_4_2_4b.h5
dense_4_2_6b,4,2,6,pregen_latency_models/dense_4_2_6b.h5
dense_4_2_8b,4,2,8,pregen_latency_models/dense_4_2_8b.h5
dense_4_2_10b,4,2,10,pregen_latency_models/dense_4_2_10b.h5
dense_4_2_12b,4,2,12,pregen_latency_models/dense_4_2_12b.h5
dense_4_2_14b,4,2,14,pregen_latency_models/dense_4_2_14b.h5
dense_4_2_16b,4,2,16,pregen_latency_models/dense_4_2_16b.h5
dense_4_4_2b,4,4,2,pregen_latency_models/dense_4_4_2b.h5
dense_4_4_4b,4,4,4,pregen_latency_models/dense_4_4_4b.h5
dense_4_4_6b,4,4,6,pregen_latency_models/dense_4_4_6b.h5
dense_4_4_8b,4,4,8,pregen_latency_models/dense_4_4_8b.h5
dense_4_4_10b,4,4,10,pregen_latency_models/dense_4_4_10b.h5
dense_4_4_12b,4,4,12,pregen_latency_models/dense_4_4_12b.h5
dense_4_4_14b,4,4,14,pregen_latency_models/dense_4_4_14b.h5
dense_4_4_16b,4,4,16,pregen_latency_models/dense_4_4_16b.h5
dense_4_6_2b,4,6,2,pregen_latency_models/dense_4_6_2b.h5
dense_4_6_4b,4,6,4,pregen_latency_models/dense_4_6_4b.h5
dense_4_6_6b,4,6,6,pregen_latency_models/dense_4_6_6b.h5
dense_4_6_8b,4,6,8,pregen_latency_models/dense_4_6_8b.h5
dense_4_6_10b,4,6,10,pregen_latency_models/dense_4_6_10b.h5
dense_4_6_12b,4,6,12,pregen_latency_models/dense_4_6_12b.h5
dense_4_6_14b,4,6,14,pregen_latency_models/dense_4_6_14b.h5
dense_4_6_16b,4,6,16,pregen_latency_models/dense_4_6_16b.h5
dense_4_8_2b,4,8,2,pregen_latency_models/dense_4_8_2b.h5
dense_4_8_4b,4,8,4,pregen_latency_models/dense_4_8_4b.h5
dense_4_8_6b,4,8,6,pregen_latency_models/dense_4_8_6b.h5
dense_4_8_8b,4,8,8,pregen_latency_models/dense_4_8_8b.h5
dense_4_8_10b,4,8,10,pregen_latency_models/dense_4_8_10b.h5
dense_4_8_12b,4,8,12,pregen_latency_models/dense_4_8_12b.h5
dense_4_8_14b,4,8,14,pregen_latency_models/dense_4_8_14b.h5
dense_4_8_16b,4,8,16,pregen_latency_models/dense_4_8_16b.h5
dense_4_10_2b,4,10,2,pregen_latency_models/dense_4_10_2b.h5
dense_4_10_4b,4,10,4,pregen_latency_models/dense_4_10_4b.h5
dense_4_10_6b,4,10,6,pregen_latency_models/dense_4_10_6b.h5
dense_4_10_8b,4,10,8,pregen_latency_models/dense_4_10_8b.h5
dense_4_10_10b,4,10,10,pregen_latency_models/dense_4_10_10b.h5
dense_4_10_12b,4,10,12,pregen_latency_models/dense_4_10_12b.h5
dense_4_10_14b,4,10,14,pregen_latency_models/dense_4_10_14b.h5
dense_4_10_16b,4,10,16,pregen_latency_models/dense_4_10_16b.h5
dense_4_12_2b,4,12,2,pregen_latency_models/dense_4_12_2b.h5
dense_4_12_4b,4,12,4,pregen_latency_models/dense_4_12_4b.h5
dense_4_12_6b,4,12,6,pregen_latency_models/dense_4_12_6b.h5
dense_4_12_8b,4,12,8,pregen_latency_models/dense_4_12_8b.h5
