model_name,d_in,d_out,d_out2,prec,model_file
dense_40_16_120_6b,40,16,120,6,pregen_2layer_models/dense_40_16_120_6b.h5
dense_40_16_120_8b,40,16,120,8,pregen_2layer_models/dense_40_16_120_8b.h5
dense_40_16_120_10b,40,16,120,10,pregen_2layer_models/dense_40_16_120_10b.h5
dense_40_16_120_12b,40,16,120,12,pregen_2layer_models/dense_40_16_120_12b.h5
dense_40_16_120_14b,40,16,120,14,pregen_2layer_models/dense_40_16_120_14b.h5
dense_40_16_120_16b,40,16,120,16,pregen_2layer_models/dense_40_16_120_16b.h5
dense_40_16_128_2b,40,16,128,2,pregen_2layer_models/dense_40_16_128_2b.h5
dense_40_16_128_4b,40,16,128,4,pregen_2layer_models/dense_40_16_128_4b.h5
dense_40_16_128_6b,40,16,128,6,pregen_2layer_models/dense_40_16_128_6b.h5
dense_40_16_128_8b,40,16,128,8,pregen_2layer_models/dense_40_16_128_8b.h5
dense_40_16_128_10b,40,16,128,10,pregen_2layer_models/dense_40_16_128_10b.h5
dense_40_16_128_12b,40,16,128,12,pregen_2layer_models/dense_40_16_128_12b.h5
dense_40_16_128_14b,40,16,128,14,pregen_2layer_models/dense_40_16_128_14b.h5
dense_40_16_128_16b,40,16,128,16,pregen_2layer_models/dense_40_16_128_16b.h5
dense_40_24_72_2b,40,24,72,2,pregen_2layer_models/dense_40_24_72_2b.h5
dense_40_24_72_4b,40,24,72,4,pregen_2layer_models/dense_40_24_72_4b.h5
dense_40_24_72_6b,40,24,72,6,pregen_2layer_models/dense_40_24_72_6b.h5
dense_40_24_72_8b,40,24,72,8,pregen_2layer_models/dense_40_24_72_8b.h5
dense_40_24_72_10b,40,24,72,10,pregen_2layer_models/dense_40_24_72_10b.h5
dense_40_24_72_12b,40,24,72,12,pregen_2layer_models/dense_40_24_72_12b.h5
dense_40_24_72_14b,40,24,72,14,pregen_2layer_models/dense_40_24_72_14b.h5
dense_40_24_72_16b,40,24,72,16,pregen_2layer_models/dense_40_24_72_16b.h5
dense_40_24_80_2b,40,24,80,2,pregen_2layer_models/dense_40_24_80_2b.h5
dense_40_24_80_4b,40,24,80,4,pregen_2layer_models/dense_40_24_80_4b.h5
dense_40_24_80_6b,40,24,80,6,pregen_2layer_models/dense_40_24_80_6b.h5
dense_40_24_80_8b,40,24,80,8,pregen_2layer_models/dense_40_24_80_8b.h5
dense_40_24_80_10b,40,24,80,10,pregen_2layer_models/dense_40_24_80_10b.h5
dense_40_24_80_12b,40,24,80,12,pregen_2layer_models/dense_40_24_80_12b.h5
dense_40_24_80_14b,40,24,80,14,pregen_2layer_models/dense_40_24_80_14b.h5
dense_40_24_80_16b,40,24,80,16,pregen_2layer_models/dense_40_24_80_16b.h5
dense_40_24_88_2b,40,24,88,2,pregen_2layer_models/dense_40_24_88_2b.h5
dense_40_24_88_4b,40,24,88,4,pregen_2layer_models/dense_40_24_88_4b.h5
dense_40_24_88_6b,40,24,88,6,pregen_2layer_models/dense_40_24_88_6b.h5
dense_40_24_88_8b,40,24,88,8,pregen_2layer_models/dense_40_24_88_8b.h5
dense_40_24_88_10b,40,24,88,10,pregen_2layer_models/dense_40_24_88_10b.h5
dense_40_24_88_12b,40,24,88,12,pregen_2layer_models/dense_40_24_88_12b.h5
dense_40_24_88_14b,40,24,88,14,pregen_2layer_models/dense_40_24_88_14b.h5
dense_40_24_88_16b,40,24,88,16,pregen_2layer_models/dense_40_24_88_16b.h5
dense_40_24_96_2b,40,24,96,2,pregen_2layer_models/dense_40_24_96_2b.h5
dense_40_24_96_4b,40,24,96,4,pregen_2layer_models/dense_40_24_96_4b.h5
dense_40_24_96_6b,40,24,96,6,pregen_2layer_models/dense_40_24_96_6b.h5
dense_40_24_96_8b,40,24,96,8,pregen_2layer_models/dense_40_24_96_8b.h5
dense_40_24_96_10b,40,24,96,10,pregen_2layer_models/dense_40_24_96_10b.h5
dense_40_24_96_12b,40,24,96,12,pregen_2layer_models/dense_40_24_96_12b.h5
dense_40_24_96_14b,40,24,96,14,pregen_2layer_models/dense_40_24_96_14b.h5
dense_40_24_96_16b,40,24,96,16,pregen_2layer_models/dense_40_24_96_16b.h5
dense_40_24_104_2b,40,24,104,2,pregen_2layer_models/dense_40_24_104_2b.h5
dense_40_24_104_4b,40,24,104,4,pregen_2layer_models/dense_40_24_104_4b.h5
dense_40_24_104_6b,40,24,104,6,pregen_2layer_models/dense_40_24_104_6b.h5
dense_40_24_104_8b,40,24,104,8,pregen_2layer_models/dense_40_24_104_8b.h5
dense_40_24_104_10b,40,24,104,10,pregen_2layer_models/dense_40_24_104_10b.h5
dense_40_24_104_12b,40,24,104,12,pregen_2layer_models/dense_40_24_104_12b.h5
dense_40_24_104_14b,40,24,104,14,pregen_2layer_models/dense_40_24_104_14b.h5
dense_40_24_104_16b,40,24,104,16,pregen_2layer_models/dense_40_24_104_16b.h5
dense_40_24_112_2b,40,24,112,2,pregen_2layer_models/dense_40_24_112_2b.h5
dense_40_24_112_4b,40,24,112,4,pregen_2layer_models/dense_40_24_112_4b.h5
dense_40_24_112_6b,40,24,112,6,pregen_2layer_models/dense_40_24_112_6b.h5
dense_40_24_112_8b,40,24,112,8,pregen_2layer_models/dense_40_24_112_8b.h5
dense_40_24_112_10b,40,24,112,10,pregen_2layer_models/dense_40_24_112_10b.h5
dense_40_24_112_12b,40,24,112,12,pregen_2layer_models/dense_40_24_112_12b.h5
dense_40_24_112_14b,40,24,112,14,pregen_2layer_models/dense_40_24_112_14b.h5
dense_40_24_112_16b,40,24,112,16,pregen_2layer_models/dense_40_24_112_16b.h5
dense_40_24_120_2b,40,24,120,2,pregen_2layer_models/dense_40_24_120_2b.h5
dense_40_24_120_4b,40,24,120,4,pregen_2layer_models/dense_40_24_120_4b.h5
dense_40_24_120_6b,40,24,120,6,pregen_2layer_models/dense_40_24_120_6b.h5
dense_40_24_120_8b,40,24,120,8,pregen_2layer_models/dense_40_24_120_8b.h5
dense_40_24_120_10b,40,24,120,10,pregen_2layer_models/dense_40_24_120_10b.h5
dense_40_24_120_12b,40,24,120,12,pregen_2layer_models/dense_40_24_120_12b.h5
dense_40_24_120_14b,40,24,120,14,pregen_2layer_models/dense_40_24_120_14b.h5
dense_40_24_120_16b,40,24,120,16,pregen_2layer_models/dense_40_24_120_16b.h5
dense_40_24_128_2b,40,24,128,2,pregen_2layer_models/dense_40_24_128_2b.h5
dense_40_24_128_4b,40,24,128,4,pregen_2layer_models/dense_40_24_128_4b.h5
dense_40_24_128_6b,40,24,128,6,pregen_2layer_models/dense_40_24_128_6b.h5
dense_40_24_128_8b,40,24,128,8,pregen_2layer_models/dense_40_24_128_8b.h5
dense_40_24_128_10b,40,24,128,10,pregen_2layer_models/dense_40_24_128_10b.h5
dense_40_24_128_12b,40,24,128,12,pregen_2layer_models/dense_40_24_128_12b.h5
dense_40_24_128_14b,40,24,128,14,pregen_2layer_models/dense_40_24_128_14b.h5
dense_40_24_128_16b,40,24,128,16,pregen_2layer_models/dense_40_24_128_16b.h5
dense_40_32_72_2b,40,32,72,2,pregen_2layer_models/dense_40_32_72_2b.h5
dense_40_32_72_4b,40,32,72,4,pregen_2layer_models/dense_40_32_72_4b.h5
dense_40_32_72_6b,40,32,72,6,pregen_2layer_models/dense_40_32_72_6b.h5
dense_40_32_72_8b,40,32,72,8,pregen_2layer_models/dense_40_32_72_8b.h5
dense_40_32_72_10b,40,32,72,10,pregen_2layer_models/dense_40_32_72_10b.h5
dense_40_32_72_12b,40,32,72,12,pregen_2layer_models/dense_40_32_72_12b.h5
dense_40_32_72_14b,40,32,72,14,pregen_2layer_models/dense_40_32_72_14b.h5
dense_40_32_72_16b,40,32,72,16,pregen_2layer_models/dense_40_32_72_16b.h5
dense_40_32_80_2b,40,32,80,2,pregen_2layer_models/dense_40_32_80_2b.h5
dense_40_32_80_4b,40,32,80,4,pregen_2layer_models/dense_40_32_80_4b.h5
dense_40_32_80_6b,40,32,80,6,pregen_2layer_models/dense_40_32_80_6b.h5
dense_40_32_80_8b,40,32,80,8,pregen_2layer_models/dense_40_32_80_8b.h5
dense_40_32_80_10b,40,32,80,10,pregen_2layer_models/dense_40_32_80_10b.h5
dense_40_32_80_12b,40,32,80,12,pregen_2layer_models/dense_40_32_80_12b.h5
dense_40_32_80_14b,40,32,80,14,pregen_2layer_models/dense_40_32_80_14b.h5
dense_40_32_80_16b,40,32,80,16,pregen_2layer_models/dense_40_32_80_16b.h5
dense_40_32_88_2b,40,32,88,2,pregen_2layer_models/dense_40_32_88_2b.h5
dense_40_32_88_4b,40,32,88,4,pregen_2layer_models/dense_40_32_88_4b.h5
dense_40_32_88_6b,40,32,88,6,pregen_2layer_models/dense_40_32_88_6b.h5
dense_40_32_88_8b,40,32,88,8,pregen_2layer_models/dense_40_32_88_8b.h5
dense_40_32_88_10b,40,32,88,10,pregen_2layer_models/dense_40_32_88_10b.h5
dense_40_32_88_12b,40,32,88,12,pregen_2layer_models/dense_40_32_88_12b.h5
dense_40_32_88_14b,40,32,88,14,pregen_2layer_models/dense_40_32_88_14b.h5
dense_40_32_88_16b,40,32,88,16,pregen_2layer_models/dense_40_32_88_16b.h5
dense_40_32_96_2b,40,32,96,2,pregen_2layer_models/dense_40_32_96_2b.h5
dense_40_32_96_4b,40,32,96,4,pregen_2layer_models/dense_40_32_96_4b.h5
dense_40_32_96_6b,40,32,96,6,pregen_2layer_models/dense_40_32_96_6b.h5
dense_40_32_96_8b,40,32,96,8,pregen_2layer_models/dense_40_32_96_8b.h5
dense_40_32_96_10b,40,32,96,10,pregen_2layer_models/dense_40_32_96_10b.h5
dense_40_32_96_12b,40,32,96,12,pregen_2layer_models/dense_40_32_96_12b.h5
dense_40_32_96_14b,40,32,96,14,pregen_2layer_models/dense_40_32_96_14b.h5
dense_40_32_96_16b,40,32,96,16,pregen_2layer_models/dense_40_32_96_16b.h5
dense_40_32_104_2b,40,32,104,2,pregen_2layer_models/dense_40_32_104_2b.h5
dense_40_32_104_4b,40,32,104,4,pregen_2layer_models/dense_40_32_104_4b.h5
dense_40_32_104_6b,40,32,104,6,pregen_2layer_models/dense_40_32_104_6b.h5
dense_40_32_104_8b,40,32,104,8,pregen_2layer_models/dense_40_32_104_8b.h5
dense_40_32_104_10b,40,32,104,10,pregen_2layer_models/dense_40_32_104_10b.h5
dense_40_32_104_12b,40,32,104,12,pregen_2layer_models/dense_40_32_104_12b.h5
dense_40_32_104_14b,40,32,104,14,pregen_2layer_models/dense_40_32_104_14b.h5
dense_40_32_104_16b,40,32,104,16,pregen_2layer_models/dense_40_32_104_16b.h5
dense_40_32_112_2b,40,32,112,2,pregen_2layer_models/dense_40_32_112_2b.h5
dense_40_32_112_4b,40,32,112,4,pregen_2layer_models/dense_40_32_112_4b.h5
dense_40_32_112_6b,40,32,112,6,pregen_2layer_models/dense_40_32_112_6b.h5
dense_40_32_112_8b,40,32,112,8,pregen_2layer_models/dense_40_32_112_8b.h5
dense_40_32_112_10b,40,32,112,10,pregen_2layer_models/dense_40_32_112_10b.h5
dense_40_32_112_12b,40,32,112,12,pregen_2layer_models/dense_40_32_112_12b.h5
dense_40_32_112_14b,40,32,112,14,pregen_2layer_models/dense_40_32_112_14b.h5
dense_40_32_112_16b,40,32,112,16,pregen_2layer_models/dense_40_32_112_16b.h5
dense_40_32_120_2b,40,32,120,2,pregen_2layer_models/dense_40_32_120_2b.h5
dense_40_32_120_4b,40,32,120,4,pregen_2layer_models/dense_40_32_120_4b.h5
dense_40_32_120_6b,40,32,120,6,pregen_2layer_models/dense_40_32_120_6b.h5
dense_40_32_120_8b,40,32,120,8,pregen_2layer_models/dense_40_32_120_8b.h5
dense_40_32_120_10b,40,32,120,10,pregen_2layer_models/dense_40_32_120_10b.h5
dense_40_32_120_12b,40,32,120,12,pregen_2layer_models/dense_40_32_120_12b.h5
dense_40_32_120_14b,40,32,120,14,pregen_2layer_models/dense_40_32_120_14b.h5
dense_40_32_120_16b,40,32,120,16,pregen_2layer_models/dense_40_32_120_16b.h5
dense_40_32_128_2b,40,32,128,2,pregen_2layer_models/dense_40_32_128_2b.h5
dense_40_32_128_4b,40,32,128,4,pregen_2layer_models/dense_40_32_128_4b.h5
dense_40_32_128_6b,40,32,128,6,pregen_2layer_models/dense_40_32_128_6b.h5
dense_40_32_128_8b,40,32,128,8,pregen_2layer_models/dense_40_32_128_8b.h5
dense_40_32_128_10b,40,32,128,10,pregen_2layer_models/dense_40_32_128_10b.h5
dense_40_32_128_12b,40,32,128,12,pregen_2layer_models/dense_40_32_128_12b.h5
dense_40_32_128_14b,40,32,128,14,pregen_2layer_models/dense_40_32_128_14b.h5
dense_40_32_128_16b,40,32,128,16,pregen_2layer_models/dense_40_32_128_16b.h5
dense_40_40_72_2b,40,40,72,2,pregen_2layer_models/dense_40_40_72_2b.h5
dense_40_40_72_4b,40,40,72,4,pregen_2layer_models/dense_40_40_72_4b.h5
dense_40_40_72_6b,40,40,72,6,pregen_2layer_models/dense_40_40_72_6b.h5
dense_40_40_72_8b,40,40,72,8,pregen_2layer_models/dense_40_40_72_8b.h5
dense_40_40_72_10b,40,40,72,10,pregen_2layer_models/dense_40_40_72_10b.h5
dense_40_40_72_12b,40,40,72,12,pregen_2layer_models/dense_40_40_72_12b.h5
dense_40_40_72_14b,40,40,72,14,pregen_2layer_models/dense_40_40_72_14b.h5
dense_40_40_72_16b,40,40,72,16,pregen_2layer_models/dense_40_40_72_16b.h5
dense_40_40_80_2b,40,40,80,2,pregen_2layer_models/dense_40_40_80_2b.h5
dense_40_40_80_4b,40,40,80,4,pregen_2layer_models/dense_40_40_80_4b.h5
dense_40_40_80_6b,40,40,80,6,pregen_2layer_models/dense_40_40_80_6b.h5
dense_40_40_80_8b,40,40,80,8,pregen_2layer_models/dense_40_40_80_8b.h5
dense_40_40_80_10b,40,40,80,10,pregen_2layer_models/dense_40_40_80_10b.h5
dense_40_40_80_12b,40,40,80,12,pregen_2layer_models/dense_40_40_80_12b.h5
dense_40_40_80_14b,40,40,80,14,pregen_2layer_models/dense_40_40_80_14b.h5
dense_40_40_80_16b,40,40,80,16,pregen_2layer_models/dense_40_40_80_16b.h5
dense_40_40_88_2b,40,40,88,2,pregen_2layer_models/dense_40_40_88_2b.h5
dense_40_40_88_4b,40,40,88,4,pregen_2layer_models/dense_40_40_88_4b.h5
dense_40_40_88_6b,40,40,88,6,pregen_2layer_models/dense_40_40_88_6b.h5
dense_40_40_88_8b,40,40,88,8,pregen_2layer_models/dense_40_40_88_8b.h5
dense_40_40_88_10b,40,40,88,10,pregen_2layer_models/dense_40_40_88_10b.h5
dense_40_40_88_12b,40,40,88,12,pregen_2layer_models/dense_40_40_88_12b.h5
dense_40_40_88_14b,40,40,88,14,pregen_2layer_models/dense_40_40_88_14b.h5
dense_40_40_88_16b,40,40,88,16,pregen_2layer_models/dense_40_40_88_16b.h5
dense_40_40_96_2b,40,40,96,2,pregen_2layer_models/dense_40_40_96_2b.h5
dense_40_40_96_4b,40,40,96,4,pregen_2layer_models/dense_40_40_96_4b.h5
dense_40_40_96_6b,40,40,96,6,pregen_2layer_models/dense_40_40_96_6b.h5
dense_40_40_96_8b,40,40,96,8,pregen_2layer_models/dense_40_40_96_8b.h5
dense_40_40_96_10b,40,40,96,10,pregen_2layer_models/dense_40_40_96_10b.h5
dense_40_40_96_12b,40,40,96,12,pregen_2layer_models/dense_40_40_96_12b.h5
dense_40_40_96_14b,40,40,96,14,pregen_2layer_models/dense_40_40_96_14b.h5
dense_40_40_96_16b,40,40,96,16,pregen_2layer_models/dense_40_40_96_16b.h5
dense_40_40_104_2b,40,40,104,2,pregen_2layer_models/dense_40_40_104_2b.h5
dense_40_40_104_4b,40,40,104,4,pregen_2layer_models/dense_40_40_104_4b.h5
dense_40_40_104_6b,40,40,104,6,pregen_2layer_models/dense_40_40_104_6b.h5
dense_40_40_104_8b,40,40,104,8,pregen_2layer_models/dense_40_40_104_8b.h5
dense_40_40_104_10b,40,40,104,10,pregen_2layer_models/dense_40_40_104_10b.h5
dense_40_40_104_12b,40,40,104,12,pregen_2layer_models/dense_40_40_104_12b.h5
dense_40_40_104_14b,40,40,104,14,pregen_2layer_models/dense_40_40_104_14b.h5
dense_40_40_104_16b,40,40,104,16,pregen_2layer_models/dense_40_40_104_16b.h5
dense_40_40_112_2b,40,40,112,2,pregen_2layer_models/dense_40_40_112_2b.h5
dense_40_40_112_4b,40,40,112,4,pregen_2layer_models/dense_40_40_112_4b.h5
dense_40_40_112_6b,40,40,112,6,pregen_2layer_models/dense_40_40_112_6b.h5
dense_40_40_112_8b,40,40,112,8,pregen_2layer_models/dense_40_40_112_8b.h5
dense_40_40_112_10b,40,40,112,10,pregen_2layer_models/dense_40_40_112_10b.h5
dense_40_40_112_12b,40,40,112,12,pregen_2layer_models/dense_40_40_112_12b.h5
dense_40_40_112_14b,40,40,112,14,pregen_2layer_models/dense_40_40_112_14b.h5
dense_40_40_112_16b,40,40,112,16,pregen_2layer_models/dense_40_40_112_16b.h5
