model_name,d_in,d_out,d_out2,prec,model_file
dense_64_64_128_6b,64,64,128,6,pregen_2layer_models/dense_64_64_128_6b.h5
dense_64_64_128_8b,64,64,128,8,pregen_2layer_models/dense_64_64_128_8b.h5
dense_64_64_128_10b,64,64,128,10,pregen_2layer_models/dense_64_64_128_10b.h5
dense_64_64_128_12b,64,64,128,12,pregen_2layer_models/dense_64_64_128_12b.h5
dense_64_64_128_14b,64,64,128,14,pregen_2layer_models/dense_64_64_128_14b.h5
dense_64_64_128_16b,64,64,128,16,pregen_2layer_models/dense_64_64_128_16b.h5
dense_64_72_8_2b,64,72,8,2,pregen_2layer_models/dense_64_72_8_2b.h5
dense_64_72_8_4b,64,72,8,4,pregen_2layer_models/dense_64_72_8_4b.h5
dense_64_72_8_6b,64,72,8,6,pregen_2layer_models/dense_64_72_8_6b.h5
dense_64_72_8_8b,64,72,8,8,pregen_2layer_models/dense_64_72_8_8b.h5
dense_64_72_8_10b,64,72,8,10,pregen_2layer_models/dense_64_72_8_10b.h5
dense_64_72_8_12b,64,72,8,12,pregen_2layer_models/dense_64_72_8_12b.h5
dense_64_72_8_14b,64,72,8,14,pregen_2layer_models/dense_64_72_8_14b.h5
dense_64_72_8_16b,64,72,8,16,pregen_2layer_models/dense_64_72_8_16b.h5
dense_64_72_16_2b,64,72,16,2,pregen_2layer_models/dense_64_72_16_2b.h5
dense_64_72_16_4b,64,72,16,4,pregen_2layer_models/dense_64_72_16_4b.h5
dense_64_72_16_6b,64,72,16,6,pregen_2layer_models/dense_64_72_16_6b.h5
dense_64_72_16_8b,64,72,16,8,pregen_2layer_models/dense_64_72_16_8b.h5
dense_64_72_16_10b,64,72,16,10,pregen_2layer_models/dense_64_72_16_10b.h5
dense_64_72_16_12b,64,72,16,12,pregen_2layer_models/dense_64_72_16_12b.h5
dense_64_72_16_14b,64,72,16,14,pregen_2layer_models/dense_64_72_16_14b.h5
dense_64_72_16_16b,64,72,16,16,pregen_2layer_models/dense_64_72_16_16b.h5
dense_64_72_24_2b,64,72,24,2,pregen_2layer_models/dense_64_72_24_2b.h5
dense_64_72_24_4b,64,72,24,4,pregen_2layer_models/dense_64_72_24_4b.h5
dense_64_72_24_6b,64,72,24,6,pregen_2layer_models/dense_64_72_24_6b.h5
dense_64_72_24_8b,64,72,24,8,pregen_2layer_models/dense_64_72_24_8b.h5
dense_64_72_24_10b,64,72,24,10,pregen_2layer_models/dense_64_72_24_10b.h5
dense_64_72_24_12b,64,72,24,12,pregen_2layer_models/dense_64_72_24_12b.h5
dense_64_72_24_14b,64,72,24,14,pregen_2layer_models/dense_64_72_24_14b.h5
dense_64_72_24_16b,64,72,24,16,pregen_2layer_models/dense_64_72_24_16b.h5
dense_64_72_32_2b,64,72,32,2,pregen_2layer_models/dense_64_72_32_2b.h5
dense_64_72_32_4b,64,72,32,4,pregen_2layer_models/dense_64_72_32_4b.h5
dense_64_72_32_6b,64,72,32,6,pregen_2layer_models/dense_64_72_32_6b.h5
dense_64_72_32_8b,64,72,32,8,pregen_2layer_models/dense_64_72_32_8b.h5
dense_64_72_32_10b,64,72,32,10,pregen_2layer_models/dense_64_72_32_10b.h5
dense_64_72_32_12b,64,72,32,12,pregen_2layer_models/dense_64_72_32_12b.h5
dense_64_72_32_14b,64,72,32,14,pregen_2layer_models/dense_64_72_32_14b.h5
dense_64_72_32_16b,64,72,32,16,pregen_2layer_models/dense_64_72_32_16b.h5
dense_64_72_40_2b,64,72,40,2,pregen_2layer_models/dense_64_72_40_2b.h5
dense_64_72_40_4b,64,72,40,4,pregen_2layer_models/dense_64_72_40_4b.h5
dense_64_72_40_6b,64,72,40,6,pregen_2layer_models/dense_64_72_40_6b.h5
dense_64_72_40_8b,64,72,40,8,pregen_2layer_models/dense_64_72_40_8b.h5
dense_64_72_40_10b,64,72,40,10,pregen_2layer_models/dense_64_72_40_10b.h5
dense_64_72_40_12b,64,72,40,12,pregen_2layer_models/dense_64_72_40_12b.h5
dense_64_72_40_14b,64,72,40,14,pregen_2layer_models/dense_64_72_40_14b.h5
dense_64_72_40_16b,64,72,40,16,pregen_2layer_models/dense_64_72_40_16b.h5
dense_64_72_48_2b,64,72,48,2,pregen_2layer_models/dense_64_72_48_2b.h5
dense_64_72_48_4b,64,72,48,4,pregen_2layer_models/dense_64_72_48_4b.h5
dense_64_72_48_6b,64,72,48,6,pregen_2layer_models/dense_64_72_48_6b.h5
dense_64_72_48_8b,64,72,48,8,pregen_2layer_models/dense_64_72_48_8b.h5
dense_64_72_48_10b,64,72,48,10,pregen_2layer_models/dense_64_72_48_10b.h5
dense_64_72_48_12b,64,72,48,12,pregen_2layer_models/dense_64_72_48_12b.h5
dense_64_72_48_14b,64,72,48,14,pregen_2layer_models/dense_64_72_48_14b.h5
dense_64_72_48_16b,64,72,48,16,pregen_2layer_models/dense_64_72_48_16b.h5
dense_64_72_56_2b,64,72,56,2,pregen_2layer_models/dense_64_72_56_2b.h5
dense_64_72_56_4b,64,72,56,4,pregen_2layer_models/dense_64_72_56_4b.h5
dense_64_72_56_6b,64,72,56,6,pregen_2layer_models/dense_64_72_56_6b.h5
dense_64_72_56_8b,64,72,56,8,pregen_2layer_models/dense_64_72_56_8b.h5
dense_64_72_56_10b,64,72,56,10,pregen_2layer_models/dense_64_72_56_10b.h5
dense_64_72_56_12b,64,72,56,12,pregen_2layer_models/dense_64_72_56_12b.h5
dense_64_72_56_14b,64,72,56,14,pregen_2layer_models/dense_64_72_56_14b.h5
dense_64_72_56_16b,64,72,56,16,pregen_2layer_models/dense_64_72_56_16b.h5
dense_64_72_64_2b,64,72,64,2,pregen_2layer_models/dense_64_72_64_2b.h5
dense_64_72_64_4b,64,72,64,4,pregen_2layer_models/dense_64_72_64_4b.h5
dense_64_72_64_6b,64,72,64,6,pregen_2layer_models/dense_64_72_64_6b.h5
dense_64_72_64_8b,64,72,64,8,pregen_2layer_models/dense_64_72_64_8b.h5
dense_64_72_64_10b,64,72,64,10,pregen_2layer_models/dense_64_72_64_10b.h5
dense_64_72_64_12b,64,72,64,12,pregen_2layer_models/dense_64_72_64_12b.h5
dense_64_72_64_14b,64,72,64,14,pregen_2layer_models/dense_64_72_64_14b.h5
dense_64_72_64_16b,64,72,64,16,pregen_2layer_models/dense_64_72_64_16b.h5
dense_64_72_72_2b,64,72,72,2,pregen_2layer_models/dense_64_72_72_2b.h5
dense_64_72_72_4b,64,72,72,4,pregen_2layer_models/dense_64_72_72_4b.h5
dense_64_72_72_6b,64,72,72,6,pregen_2layer_models/dense_64_72_72_6b.h5
dense_64_72_72_8b,64,72,72,8,pregen_2layer_models/dense_64_72_72_8b.h5
dense_64_72_72_10b,64,72,72,10,pregen_2layer_models/dense_64_72_72_10b.h5
dense_64_72_72_12b,64,72,72,12,pregen_2layer_models/dense_64_72_72_12b.h5
dense_64_72_72_14b,64,72,72,14,pregen_2layer_models/dense_64_72_72_14b.h5
dense_64_72_72_16b,64,72,72,16,pregen_2layer_models/dense_64_72_72_16b.h5
dense_64_72_80_2b,64,72,80,2,pregen_2layer_models/dense_64_72_80_2b.h5
dense_64_72_80_4b,64,72,80,4,pregen_2layer_models/dense_64_72_80_4b.h5
dense_64_72_80_6b,64,72,80,6,pregen_2layer_models/dense_64_72_80_6b.h5
dense_64_72_80_8b,64,72,80,8,pregen_2layer_models/dense_64_72_80_8b.h5
dense_64_72_80_10b,64,72,80,10,pregen_2layer_models/dense_64_72_80_10b.h5
dense_64_72_80_12b,64,72,80,12,pregen_2layer_models/dense_64_72_80_12b.h5
dense_64_72_80_14b,64,72,80,14,pregen_2layer_models/dense_64_72_80_14b.h5
dense_64_72_80_16b,64,72,80,16,pregen_2layer_models/dense_64_72_80_16b.h5
dense_64_72_88_2b,64,72,88,2,pregen_2layer_models/dense_64_72_88_2b.h5
dense_64_72_88_4b,64,72,88,4,pregen_2layer_models/dense_64_72_88_4b.h5
dense_64_72_88_6b,64,72,88,6,pregen_2layer_models/dense_64_72_88_6b.h5
dense_64_72_88_8b,64,72,88,8,pregen_2layer_models/dense_64_72_88_8b.h5
dense_64_72_88_10b,64,72,88,10,pregen_2layer_models/dense_64_72_88_10b.h5
dense_64_72_88_12b,64,72,88,12,pregen_2layer_models/dense_64_72_88_12b.h5
dense_64_72_88_14b,64,72,88,14,pregen_2layer_models/dense_64_72_88_14b.h5
dense_64_72_88_16b,64,72,88,16,pregen_2layer_models/dense_64_72_88_16b.h5
dense_64_72_96_2b,64,72,96,2,pregen_2layer_models/dense_64_72_96_2b.h5
dense_64_72_96_4b,64,72,96,4,pregen_2layer_models/dense_64_72_96_4b.h5
dense_64_72_96_6b,64,72,96,6,pregen_2layer_models/dense_64_72_96_6b.h5
dense_64_72_96_8b,64,72,96,8,pregen_2layer_models/dense_64_72_96_8b.h5
dense_64_72_96_10b,64,72,96,10,pregen_2layer_models/dense_64_72_96_10b.h5
dense_64_72_96_12b,64,72,96,12,pregen_2layer_models/dense_64_72_96_12b.h5
dense_64_72_96_14b,64,72,96,14,pregen_2layer_models/dense_64_72_96_14b.h5
dense_64_72_96_16b,64,72,96,16,pregen_2layer_models/dense_64_72_96_16b.h5
dense_64_72_104_2b,64,72,104,2,pregen_2layer_models/dense_64_72_104_2b.h5
dense_64_72_104_4b,64,72,104,4,pregen_2layer_models/dense_64_72_104_4b.h5
dense_64_72_104_6b,64,72,104,6,pregen_2layer_models/dense_64_72_104_6b.h5
dense_64_72_104_8b,64,72,104,8,pregen_2layer_models/dense_64_72_104_8b.h5
dense_64_72_104_10b,64,72,104,10,pregen_2layer_models/dense_64_72_104_10b.h5
dense_64_72_104_12b,64,72,104,12,pregen_2layer_models/dense_64_72_104_12b.h5
dense_64_72_104_14b,64,72,104,14,pregen_2layer_models/dense_64_72_104_14b.h5
dense_64_72_104_16b,64,72,104,16,pregen_2layer_models/dense_64_72_104_16b.h5
dense_64_72_112_2b,64,72,112,2,pregen_2layer_models/dense_64_72_112_2b.h5
dense_64_72_112_4b,64,72,112,4,pregen_2layer_models/dense_64_72_112_4b.h5
dense_64_72_112_6b,64,72,112,6,pregen_2layer_models/dense_64_72_112_6b.h5
dense_64_72_112_8b,64,72,112,8,pregen_2layer_models/dense_64_72_112_8b.h5
dense_64_72_112_10b,64,72,112,10,pregen_2layer_models/dense_64_72_112_10b.h5
dense_64_72_112_12b,64,72,112,12,pregen_2layer_models/dense_64_72_112_12b.h5
dense_64_72_112_14b,64,72,112,14,pregen_2layer_models/dense_64_72_112_14b.h5
dense_64_72_112_16b,64,72,112,16,pregen_2layer_models/dense_64_72_112_16b.h5
dense_64_72_120_2b,64,72,120,2,pregen_2layer_models/dense_64_72_120_2b.h5
dense_64_72_120_4b,64,72,120,4,pregen_2layer_models/dense_64_72_120_4b.h5
dense_64_72_120_6b,64,72,120,6,pregen_2layer_models/dense_64_72_120_6b.h5
dense_64_72_120_8b,64,72,120,8,pregen_2layer_models/dense_64_72_120_8b.h5
dense_64_72_120_10b,64,72,120,10,pregen_2layer_models/dense_64_72_120_10b.h5
dense_64_72_120_12b,64,72,120,12,pregen_2layer_models/dense_64_72_120_12b.h5
dense_64_72_120_14b,64,72,120,14,pregen_2layer_models/dense_64_72_120_14b.h5
dense_64_72_120_16b,64,72,120,16,pregen_2layer_models/dense_64_72_120_16b.h5
dense_64_72_128_2b,64,72,128,2,pregen_2layer_models/dense_64_72_128_2b.h5
dense_64_72_128_4b,64,72,128,4,pregen_2layer_models/dense_64_72_128_4b.h5
dense_64_72_128_6b,64,72,128,6,pregen_2layer_models/dense_64_72_128_6b.h5
dense_64_72_128_8b,64,72,128,8,pregen_2layer_models/dense_64_72_128_8b.h5
dense_64_72_128_10b,64,72,128,10,pregen_2layer_models/dense_64_72_128_10b.h5
dense_64_72_128_12b,64,72,128,12,pregen_2layer_models/dense_64_72_128_12b.h5
dense_64_72_128_14b,64,72,128,14,pregen_2layer_models/dense_64_72_128_14b.h5
dense_64_72_128_16b,64,72,128,16,pregen_2layer_models/dense_64_72_128_16b.h5
dense_64_80_8_2b,64,80,8,2,pregen_2layer_models/dense_64_80_8_2b.h5
dense_64_80_8_4b,64,80,8,4,pregen_2layer_models/dense_64_80_8_4b.h5
dense_64_80_8_6b,64,80,8,6,pregen_2layer_models/dense_64_80_8_6b.h5
dense_64_80_8_8b,64,80,8,8,pregen_2layer_models/dense_64_80_8_8b.h5
dense_64_80_8_10b,64,80,8,10,pregen_2layer_models/dense_64_80_8_10b.h5
dense_64_80_8_12b,64,80,8,12,pregen_2layer_models/dense_64_80_8_12b.h5
dense_64_80_8_14b,64,80,8,14,pregen_2layer_models/dense_64_80_8_14b.h5
dense_64_80_8_16b,64,80,8,16,pregen_2layer_models/dense_64_80_8_16b.h5
dense_64_80_16_2b,64,80,16,2,pregen_2layer_models/dense_64_80_16_2b.h5
dense_64_80_16_4b,64,80,16,4,pregen_2layer_models/dense_64_80_16_4b.h5
dense_64_80_16_6b,64,80,16,6,pregen_2layer_models/dense_64_80_16_6b.h5
dense_64_80_16_8b,64,80,16,8,pregen_2layer_models/dense_64_80_16_8b.h5
dense_64_80_16_10b,64,80,16,10,pregen_2layer_models/dense_64_80_16_10b.h5
dense_64_80_16_12b,64,80,16,12,pregen_2layer_models/dense_64_80_16_12b.h5
dense_64_80_16_14b,64,80,16,14,pregen_2layer_models/dense_64_80_16_14b.h5
dense_64_80_16_16b,64,80,16,16,pregen_2layer_models/dense_64_80_16_16b.h5
dense_64_80_24_2b,64,80,24,2,pregen_2layer_models/dense_64_80_24_2b.h5
dense_64_80_24_4b,64,80,24,4,pregen_2layer_models/dense_64_80_24_4b.h5
dense_64_80_24_6b,64,80,24,6,pregen_2layer_models/dense_64_80_24_6b.h5
dense_64_80_24_8b,64,80,24,8,pregen_2layer_models/dense_64_80_24_8b.h5
dense_64_80_24_10b,64,80,24,10,pregen_2layer_models/dense_64_80_24_10b.h5
dense_64_80_24_12b,64,80,24,12,pregen_2layer_models/dense_64_80_24_12b.h5
dense_64_80_24_14b,64,80,24,14,pregen_2layer_models/dense_64_80_24_14b.h5
dense_64_80_24_16b,64,80,24,16,pregen_2layer_models/dense_64_80_24_16b.h5
dense_64_80_32_2b,64,80,32,2,pregen_2layer_models/dense_64_80_32_2b.h5
dense_64_80_32_4b,64,80,32,4,pregen_2layer_models/dense_64_80_32_4b.h5
dense_64_80_32_6b,64,80,32,6,pregen_2layer_models/dense_64_80_32_6b.h5
dense_64_80_32_8b,64,80,32,8,pregen_2layer_models/dense_64_80_32_8b.h5
dense_64_80_32_10b,64,80,32,10,pregen_2layer_models/dense_64_80_32_10b.h5
dense_64_80_32_12b,64,80,32,12,pregen_2layer_models/dense_64_80_32_12b.h5
dense_64_80_32_14b,64,80,32,14,pregen_2layer_models/dense_64_80_32_14b.h5
dense_64_80_32_16b,64,80,32,16,pregen_2layer_models/dense_64_80_32_16b.h5
dense_64_80_40_2b,64,80,40,2,pregen_2layer_models/dense_64_80_40_2b.h5
dense_64_80_40_4b,64,80,40,4,pregen_2layer_models/dense_64_80_40_4b.h5
dense_64_80_40_6b,64,80,40,6,pregen_2layer_models/dense_64_80_40_6b.h5
dense_64_80_40_8b,64,80,40,8,pregen_2layer_models/dense_64_80_40_8b.h5
dense_64_80_40_10b,64,80,40,10,pregen_2layer_models/dense_64_80_40_10b.h5
dense_64_80_40_12b,64,80,40,12,pregen_2layer_models/dense_64_80_40_12b.h5
dense_64_80_40_14b,64,80,40,14,pregen_2layer_models/dense_64_80_40_14b.h5
dense_64_80_40_16b,64,80,40,16,pregen_2layer_models/dense_64_80_40_16b.h5
dense_64_80_48_2b,64,80,48,2,pregen_2layer_models/dense_64_80_48_2b.h5
dense_64_80_48_4b,64,80,48,4,pregen_2layer_models/dense_64_80_48_4b.h5
dense_64_80_48_6b,64,80,48,6,pregen_2layer_models/dense_64_80_48_6b.h5
dense_64_80_48_8b,64,80,48,8,pregen_2layer_models/dense_64_80_48_8b.h5
dense_64_80_48_10b,64,80,48,10,pregen_2layer_models/dense_64_80_48_10b.h5
dense_64_80_48_12b,64,80,48,12,pregen_2layer_models/dense_64_80_48_12b.h5
dense_64_80_48_14b,64,80,48,14,pregen_2layer_models/dense_64_80_48_14b.h5
dense_64_80_48_16b,64,80,48,16,pregen_2layer_models/dense_64_80_48_16b.h5
dense_64_80_56_2b,64,80,56,2,pregen_2layer_models/dense_64_80_56_2b.h5
dense_64_80_56_4b,64,80,56,4,pregen_2layer_models/dense_64_80_56_4b.h5
dense_64_80_56_6b,64,80,56,6,pregen_2layer_models/dense_64_80_56_6b.h5
dense_64_80_56_8b,64,80,56,8,pregen_2layer_models/dense_64_80_56_8b.h5
dense_64_80_56_10b,64,80,56,10,pregen_2layer_models/dense_64_80_56_10b.h5
dense_64_80_56_12b,64,80,56,12,pregen_2layer_models/dense_64_80_56_12b.h5
dense_64_80_56_14b,64,80,56,14,pregen_2layer_models/dense_64_80_56_14b.h5
dense_64_80_56_16b,64,80,56,16,pregen_2layer_models/dense_64_80_56_16b.h5
